Season,LactationStage,Parity,MilkYield,Stage,pH_mean,pH_sd,EC_mean,EC_sd,SCC_mean,SCC_sd
Winter,NA,NA,NA,Healthy,6.41,0.07,4.26,0.04,0.5,0.02
Winter,NA,NA,NA,Subclinical,6.64,0.09,4.7,0.05,3.5,0.1
Winter,NA,NA,NA,Clinical,6.9,0.07,4.85,0.13,13.14,4.2
Summer,NA,NA,NA,Healthy,6.65,0.02,4.3,0.02,1.23,0.09
Summer,NA,NA,NA,Subclinical,6.8,0.07,4.93,0.1,3.52,0.17
Summer,NA,NA,NA,Clinical,7.01,0.02,5.74,0.19,17.28,4.05
Rainy,NA,NA,NA,Healthy,6.75,0.02,4.48,0.06,1.52,0.06
Rainy,NA,NA,NA,Subclinical,6.91,0.01,5.01,0.06,3.98,0.32
Rainy,NA,NA,NA,Clinical,7.04,0.04,5.79,0.1,19.04,1.18
NA,Early,NA,NA,Healthy,6.62,0.06,4.34,0.04,0.08,0.09
NA,Early,NA,NA,Subclinical,6.78,0.05,4.87,0.07,3.27,0.19
NA,Early,NA,NA,Clinical,6.99,0.02,5.49,0.08,18.5,3.37
NA,Mid,NA,NA,Healthy,6.45,0.04,4.31,0.05,1.32,0.12
NA,Mid,NA,NA,Subclinical,6.77,0.04,4.98,0.08,3.62,0.13
NA,Mid,NA,NA,Clinical,7.01,0.02,5.66,0.11,17.81,2.12
NA,Late,NA,NA,Healthy,6.66,0.02,4.49,0.05,1.48,0.07
NA,Late,NA,NA,Subclinical,6.88,0.02,4.92,0.05,3.84,0.11
NA,Late,NA,NA,Clinical,7.05,0.02,5.98,0.13,27.51,1.35
NA,NA,Primiparous,NA,Healthy,6.68,0.06,4.28,0.11,1.29,0.09
NA,NA,Primiparous,NA,Subclinical,6.85,0.02,4.79,0.05,3.33,0.13
NA,NA,Primiparous,NA,Clinical,6.98,0.05,5.27,0.15,10.44,1.07
NA,NA,2nd,NA,Healthy,6.56,0.02,4.31,0.06,1.3,0.11
NA,NA,2nd,NA,Subclinical,6.76,0.05,4.77,0.1,3.48,0.18
NA,NA,2nd,NA,Clinical,6.94,0.04,5.25,0.13,21.55,2.24
NA,NA,3rd,NA,Healthy,6.71,0.01,4.44,0.03,1.46,0.08
NA,NA,3rd,NA,Subclinical,6.91,0.05,5.31,0.22,3.46,0.17
NA,NA,3rd,NA,Clinical,7.08,0.03,6.4,0.24,29.76,4.0
NA,NA,4th and above,NA,Healthy,6.27,0.07,4.39,0.05,1.49,0.06
NA,NA,4th and above,NA,Subclinical,6.76,0.05,4.93,0.04,3.71,0.11
NA,NA,4th and above,NA,Clinical,7.01,0.01,5.71,0.07,23.81,1.72
NA,NA,NA,0-4,Healthy,6.6,0.03,4.52,0.02,1.75,0.06
NA,NA,NA,0-4,Subclinical,6.81,0.04,5.0,0.09,3.71,0.17
NA,NA,NA,0-4,Clinical,6.99,0.02,5.91,0.1,26.79,1.94
NA,NA,NA,5-10,Healthy,6.4,0.07,4.41,0.03,1.47,0.06
NA,NA,NA,5-10,Subclinical,6.78,0.04,4.92,0.06,3.4,0.08
NA,NA,NA,5-10,Clinical,7.02,0.02,5.45,0.08,19.69,1.41
NA,NA,NA,>10,Healthy,6.51,0.09,4.27,0.05,1.22,0.08
NA,NA,NA,>10,Subclinical,6.86,0.07,4.82,0.05,3.71,0.25
NA,NA,NA,>10,Clinical,7.05,0.03,5.47,0.09,14.7,1.3
