Season,LactationStage,Parity,MilkYield,pH,EC,SCC,Stage
Winter,,,,7.036,4.363,0.717,Healthy
Winter,,,,8.0,4.693,0.618,Healthy
Winter,,,,8.0,5.328,0.76,Healthy
Winter,,,,7.094,4.182,0.367,Healthy
Winter,,,,6.715,3.18,0.0,Healthy
Winter,,,,5.702,3.427,0.301,Healthy
Winter,,,,5.5,3.051,0.475,Healthy
Winter,,,,6.126,4.216,0.105,Healthy
Winter,,,,5.724,4.122,0.138,Healthy
Winter,,,,6.883,4.034,0.361,Healthy
Winter,,,,5.652,5.166,0.77,Healthy
Winter,,,,5.5,4.363,0.183,Healthy
Winter,,,,6.673,3.139,0.0,Healthy
Winter,,,,6.658,4.787,0.719,Healthy
Winter,,,,6.264,4.032,0.035,Healthy
Winter,,,,5.503,3.705,0.582,Healthy
Winter,,,,6.843,3.311,0.291,Healthy
Winter,,,,5.925,3.7,0.471,Healthy
Winter,,,,7.709,5.221,0.614,Healthy
Winter,,,,6.02,4.346,0.776,Healthy
Winter,,,,5.806,3.965,0.101,Healthy
Winter,,,,5.5,4.305,0.839,Healthy
Winter,,,,6.319,4.847,0.781,Healthy
Winter,,,,5.597,4.237,0.88,Healthy
Winter,,,,6.365,5.205,0.111,Healthy
Winter,,,,7.446,4.625,0.56,Healthy
Winter,,,,6.526,3.078,0.066,Healthy
Winter,,,,6.86,5.3,0.706,Healthy
Winter,,,,5.5,3.647,0.523,Healthy
Winter,,,,6.824,4.06,0.58,Healthy
Winter,,,,6.532,4.89,0.519,Healthy
Winter,,,,5.997,3.896,0.0,Healthy
Winter,,,,6.783,4.532,0.596,Healthy
Winter,,,,6.114,3.304,0.077,Healthy
Winter,,,,5.978,3.639,0.25,Healthy
Winter,,,,6.919,5.568,0.975,Healthy
Winter,,,,6.735,4.312,0.018,Healthy
Winter,,,,6.377,4.287,1.156,Healthy
Winter,,,,6.168,4.372,0.521,Healthy
Winter,,,,5.5,4.517,0.749,Healthy
Winter,,,,7.407,4.003,0.808,Healthy
Winter,,,,5.5,4.088,0.984,Healthy
Winter,,,,5.5,3.538,0.269,Healthy
Winter,,,,5.776,3.12,0.14,Healthy
Winter,,,,5.5,4.148,0.194,Healthy
