Season,LactationStage,Parity,MilkYield,pH,EC,SCC,Stage
Winter,,,,6.445,4.266,0.512,Healthy
Winter,,,,6.517,4.284,0.507,Healthy
Winter,,,,6.521,4.319,0.514,Healthy
Winter,,,,6.448,4.256,0.493,Healthy
Winter,,,,6.427,4.2,0.456,Healthy
Winter,,,,6.371,4.214,0.489,Healthy
Winter,,,,6.346,4.193,0.499,Healthy
Winter,,,,6.394,4.258,0.478,Healthy
Winter,,,,6.372,4.252,0.48,Healthy
Winter,,,,6.436,4.247,0.492,Healthy
Winter,,,,6.368,4.31,0.515,Healthy
Winter,,,,6.336,4.266,0.482,Healthy
Winter,,,,6.425,4.198,0.461,Healthy
Winter,,,,6.424,4.289,0.512,Healthy
Winter,,,,6.402,4.247,0.474,Healthy
Winter,,,,6.36,4.229,0.505,Healthy
Winter,,,,6.434,4.207,0.488,Healthy
Winter,,,,6.383,4.229,0.498,Healthy
Winter,,,,6.482,4.313,0.506,Healthy
Winter,,,,6.388,4.265,0.515,Healthy
Winter,,,,6.376,4.244,0.478,Healthy
Winter,,,,6.326,4.262,0.519,Healthy
Winter,,,,6.405,4.293,0.516,Healthy
Winter,,,,6.365,4.259,0.521,Healthy
Winter,,,,6.407,4.312,0.478,Healthy
Winter,,,,6.468,4.28,0.503,Healthy
Winter,,,,6.416,4.194,0.476,Healthy
Winter,,,,6.435,4.318,0.511,Healthy
Winter,,,,6.353,4.226,0.501,Healthy
Winter,,,,6.433,4.249,0.504,Healthy
Winter,,,,6.417,4.295,0.501,Healthy
Winter,,,,6.387,4.24,0.472,Healthy
Winter,,,,6.431,4.275,0.505,Healthy
Winter,,,,6.394,4.207,0.477,Healthy
Winter,,,,6.386,4.225,0.486,Healthy
Winter,,,,6.438,4.333,0.526,Healthy
Winter,,,,6.428,4.263,0.473,Healthy
Winter,,,,6.408,4.261,0.536,Healthy
Winter,,,,6.397,4.266,0.501,Healthy
Winter,,,,6.328,4.274,0.514,Healthy
Winter,,,,6.465,4.246,0.517,Healthy
Winter,,,,6.312,4.25,0.527,Healthy
Winter,,,,6.341,4.22,0.487,Healthy
Winter,,,,6.375,4.197,0.48,Healthy
Winter,,,,6.336,4.254,0.483,Healthy
Winter,,,,6.518,4.266,0.5,Healthy
Winter,,,,6.467,4.235,0.497,Healthy
Winter,,,,6.501,4.233,0.496,Healthy
Winter,,,,6.428,4.292,0.493,Healthy
Winter,,,,6.318,4.25,0.499,Healthy
Winter,,,,6.428,4.277,0.496,Healthy
Winter,,,,6.426,4.275,0.495,Healthy
Winter,,,,6.541,4.315,0.503,Healthy
Winter,,,,6.456,4.241,0.506,Healthy
Winter,,,,6.491,4.256,0.515,Healthy
Winter,,,,6.439,4.297,0.54,Healthy
Winter,,,,6.393,4.229,0.477,Healthy
Winter,,,,6.353,4.24,0.497,Healthy
Winter,,,,6.429,4.294,0.511,Healthy
Winter,,,,6.512,4.282,0.549,Healthy
Winter,,,,6.454,4.244,0.48,Healthy
Winter,,,,6.444,4.263,0.512,Healthy
Winter,,,,6.443,4.267,0.491,Healthy
Winter,,,,6.304,4.213,0.495,Healthy
Winter,,,,6.425,4.222,0.491,Healthy
Winter,,,,6.437,4.238,0.496,Healthy
Winter,,,,6.414,4.222,0.493,Healthy
Winter,,,,6.449,4.309,0.532,Healthy
Winter,,,,6.314,4.199,0.486,Healthy
Winter,,,,6.446,4.288,0.566,Healthy
Winter,,,,6.45,4.311,0.531,Healthy
Winter,,,,6.456,4.263,0.513,Healthy
Winter,,,,6.356,4.236,0.484,Healthy
Winter,,,,6.416,4.34,0.499,Healthy
Winter,,,,6.458,4.22,0.481,Healthy
Winter,,,,6.486,4.285,0.494,Healthy
Winter,,,,6.36,4.268,0.491,Healthy
Winter,,,,6.425,4.266,0.493,Healthy
Winter,,,,6.56,4.327,0.495,Healthy
Winter,,,,6.423,4.241,0.507,Healthy
Winter,,,,6.355,4.239,0.5,Healthy
Winter,,,,6.471,4.237,0.489,Healthy
Winter,,,,6.377,4.228,0.515,Healthy
Winter,,,,6.438,4.226,0.503,Healthy
Winter,,,,6.559,4.34,0.506,Healthy
Winter,,,,6.376,4.293,0.499,Healthy
Winter,,,,6.441,4.296,0.499,Healthy
Winter,,,,6.406,4.148,0.449,Healthy
Winter,,,,6.392,4.212,0.508,Healthy
Winter,,,,6.31,4.215,0.485,Healthy
Winter,,,,6.511,4.241,0.513,Healthy
Winter,,,,6.411,4.227,0.496,Healthy
Winter,,,,6.424,4.244,0.496,Healthy
Winter,,,,6.383,4.256,0.508,Healthy
Winter,,,,6.521,4.251,0.531,Healthy
Winter,,,,6.273,4.214,0.491,Healthy
Winter,,,,6.43,4.245,0.492,Healthy
Winter,,,,6.375,4.23,0.502,Healthy
Winter,,,,6.435,4.244,0.509,Healthy
Winter,,,,6.432,4.294,0.521,Healthy
Winter,,,,6.565,4.654,3.49,Subclinical
Winter,,,,6.695,4.715,3.533,Subclinical
Winter,,,,6.755,4.708,3.56,Subclinical
Winter,,,,6.622,4.685,3.56,Subclinical
Winter,,,,6.714,4.756,3.674,Subclinical
Winter,,,,6.642,4.73,3.515,Subclinical
Winter,,,,6.669,4.703,3.513,Subclinical
Winter,,,,6.694,4.681,3.633,Subclinical
Winter,,,,6.549,4.622,3.477,Subclinical
Winter,,,,6.711,4.747,3.612,Subclinical
Winter,,,,6.639,4.662,3.456,Subclinical
Winter,,,,6.579,4.724,3.514,Subclinical
Winter,,,,6.566,4.665,3.479,Subclinical
Winter,,,,6.589,4.65,3.45,Subclinical
Winter,,,,6.662,4.685,3.448,Subclinical
Winter,,,,6.661,4.645,3.328,Subclinical
Winter,,,,6.575,4.672,3.482,Subclinical
Winter,,,,6.773,4.775,3.596,Subclinical
Winter,,,,6.638,4.657,3.443,Subclinical
Winter,,,,6.614,4.706,3.445,Subclinical
Winter,,,,6.687,4.779,3.597,Subclinical
Winter,,,,6.676,4.74,3.525,Subclinical
Winter,,,,6.66,4.706,3.517,Subclinical
Winter,,,,6.57,4.681,3.506,Subclinical
Winter,,,,6.771,4.779,3.769,Subclinical
Winter,,,,6.571,4.717,3.529,Subclinical
Winter,,,,6.837,4.723,3.485,Subclinical
Winter,,,,6.586,4.594,3.321,Subclinical
Winter,,,,6.572,4.686,3.502,Subclinical
Winter,,,,6.809,4.79,3.587,Subclinical
Winter,,,,6.559,4.697,3.393,Subclinical
Winter,,,,6.805,4.798,3.605,Subclinical
Winter,,,,6.486,4.713,3.495,Subclinical
Winter,,,,6.751,4.665,3.42,Subclinical
Winter,,,,6.64,4.702,3.47,Subclinical
Winter,,,,6.696,4.671,3.457,Subclinical
Winter,,,,6.651,4.725,3.585,Subclinical
Winter,,,,6.539,4.605,3.464,Subclinical
Winter,,,,6.67,4.677,3.586,Subclinical
Winter,,,,6.65,4.753,3.574,Subclinical
Winter,,,,6.825,4.829,3.662,Subclinical
Winter,,,,6.727,4.753,3.675,Subclinical
Winter,,,,6.553,4.704,3.575,Subclinical
Winter,,,,6.482,4.603,3.214,Subclinical
Winter,,,,6.616,4.723,3.638,Subclinical
Winter,,,,6.647,4.771,3.491,Subclinical
Winter,,,,6.487,4.653,3.455,Subclinical
Winter,,,,6.637,4.611,3.38,Subclinical
Winter,,,,6.523,4.694,3.51,Subclinical
Winter,,,,6.555,4.653,3.356,Subclinical
Winter,,,,6.634,4.739,3.477,Subclinical
Winter,,,,6.685,4.691,3.434,Subclinical
Winter,,,,6.63,4.653,3.399,Subclinical
Winter,,,,6.532,4.752,3.56,Subclinical
Winter,,,,6.577,4.691,3.475,Subclinical
Winter,,,,6.62,4.72,3.58,Subclinical
Winter,,,,6.592,4.662,3.427,Subclinical
Winter,,,,6.433,4.575,3.423,Subclinical
Winter,,,,6.788,4.733,3.596,Subclinical
Winter,,,,6.668,4.839,3.762,Subclinical
Winter,,,,6.628,4.656,3.325,Subclinical
Winter,,,,6.658,4.673,3.363,Subclinical
Winter,,,,6.582,4.637,3.538,Subclinical
Winter,,,,6.719,4.723,3.644,Subclinical
Winter,,,,6.647,4.665,3.568,Subclinical
Winter,,,,6.689,4.67,3.452,Subclinical
Winter,,,,6.561,4.618,3.457,Subclinical
Winter,,,,6.812,4.691,3.544,Subclinical
Winter,,,,6.581,4.662,3.403,Subclinical
Winter,,,,6.562,4.679,3.406,Subclinical
Winter,,,,6.664,4.705,3.491,Subclinical
Winter,,,,6.558,4.652,3.487,Subclinical
Winter,,,,6.685,4.672,3.475,Subclinical
Winter,,,,6.708,4.649,3.48,Subclinical
Winter,,,,6.58,4.707,3.448,Subclinical
Winter,,,,6.478,4.583,3.341,Subclinical
Winter,,,,6.663,4.668,3.508,Subclinical
Winter,,,,6.49,4.653,3.34,Subclinical
Winter,,,,6.581,4.685,3.413,Subclinical
Winter,,,,6.605,4.733,3.497,Subclinical
Winter,,,,6.715,4.674,3.512,Subclinical
Winter,,,,6.77,4.633,3.366,Subclinical
Winter,,,,6.692,4.707,3.54,Subclinical
Winter,,,,6.586,4.688,3.469,Subclinical
Winter,,,,6.745,4.742,3.587,Subclinical
Winter,,,,6.603,4.668,3.425,Subclinical
Winter,,,,6.676,4.692,3.514,Subclinical
Winter,,,,6.827,4.792,3.609,Subclinical
Winter,,,,6.748,4.714,3.378,Subclinical
Winter,,,,6.549,4.594,3.331,Subclinical
Winter,,,,6.642,4.772,3.616,Subclinical
Winter,,,,6.62,4.73,3.374,Subclinical
Winter,,,,6.661,4.739,3.443,Subclinical
Winter,,,,6.743,4.744,3.535,Subclinical
Winter,,,,6.697,4.813,3.663,Subclinical
Winter,,,,6.662,4.687,3.423,Subclinical
Winter,,,,6.715,4.685,3.493,Subclinical
Winter,,,,6.597,4.708,3.531,Subclinical
Winter,,,,6.733,4.706,3.495,Subclinical
Winter,,,,6.552,4.655,3.463,Subclinical
Winter,,,,6.953,4.8,15.01,Clinical
Winter,,,,6.995,4.988,22.19,Clinical
Winter,,,,6.846,4.659,3.496,Clinical
Winter,,,,7.005,5.025,17.047,Clinical
Winter,,,,6.92,4.745,18.564,Clinical
Winter,,,,6.909,4.871,15.843,Clinical
Winter,,,,6.934,4.908,12.054,Clinical
Winter,,,,6.933,5.09,22.388,Clinical
Winter,,,,7.012,4.902,11.682,Clinical
Winter,,,,6.891,4.848,16.411,Clinical
Winter,,,,6.782,4.903,13.229,Clinical
Winter,,,,6.87,4.709,5.006,Clinical
Winter,,,,6.958,4.914,10.766,Clinical
Winter,,,,6.809,4.724,15.264,Clinical
Winter,,,,6.882,4.666,8.501,Clinical
Winter,,,,6.881,4.533,6.339,Clinical
Winter,,,,6.884,4.911,20.012,Clinical
Winter,,,,6.979,4.897,11.071,Clinical
Winter,,,,7.08,5.033,17.76,Clinical
Winter,,,,6.898,4.87,13.108,Clinical
Winter,,,,6.86,4.75,10.799,Clinical
Winter,,,,6.862,4.734,10.9,Clinical
Winter,,,,6.882,4.999,7.994,Clinical
Winter,,,,6.976,5.062,11.503,Clinical
Winter,,,,6.876,4.785,7.376,Clinical
Winter,,,,6.846,4.674,14.642,Clinical
Winter,,,,6.965,5.055,19.878,Clinical
Winter,,,,6.821,4.715,11.496,Clinical
Winter,,,,6.814,4.845,11.922,Clinical
Winter,,,,6.874,4.903,15.483,Clinical
Winter,,,,6.875,4.953,11.846,Clinical
Winter,,,,6.943,4.958,14.608,Clinical
Winter,,,,6.923,4.734,13.682,Clinical
Winter,,,,6.887,4.78,14.849,Clinical
Winter,,,,6.851,4.646,3.923,Clinical
Winter,,,,6.942,4.75,16.65,Clinical
Winter,,,,6.754,4.895,14.072,Clinical
Winter,,,,6.893,4.783,12.954,Clinical
Winter,,,,6.897,4.969,15.948,Clinical
Winter,,,,6.911,4.82,12.393,Clinical
Winter,,,,6.922,4.682,5.621,Clinical
Winter,,,,6.952,4.92,14.248,Clinical
Winter,,,,6.901,4.89,12.308,Clinical
Winter,,,,6.846,4.818,9.239,Clinical
Winter,,,,6.929,4.69,13.115,Clinical
Winter,,,,6.933,4.911,17.56,Clinical
Winter,,,,7.017,5.076,12.678,Clinical
Winter,,,,6.81,4.693,9.583,Clinical
Winter,,,,6.936,4.805,12.949,Clinical
Winter,,,,6.847,4.731,6.117,Clinical
Winter,,,,6.835,4.637,5.459,Clinical
Winter,,,,6.974,4.817,20.875,Clinical
Winter,,,,6.935,4.904,11.777,Clinical
Winter,,,,6.949,4.834,13.408,Clinical
Winter,,,,7.079,5.014,20.87,Clinical
Winter,,,,6.851,4.798,17.286,Clinical
Winter,,,,6.856,5.008,18.374,Clinical
Winter,,,,6.861,4.881,16.602,Clinical
Winter,,,,6.944,4.719,8.391,Clinical
Winter,,,,6.883,4.825,14.449,Clinical
Winter,,,,6.912,4.715,11.563,Clinical
Winter,,,,6.943,4.954,18.793,Clinical
Winter,,,,6.958,4.958,15.413,Clinical
Winter,,,,6.784,4.784,11.893,Clinical
Winter,,,,6.919,4.727,7.37,Clinical
Winter,,,,6.974,4.918,16.961,Clinical
Winter,,,,6.902,4.855,16.139,Clinical
Winter,,,,6.864,4.825,11.049,Clinical
Winter,,,,6.87,4.786,12.366,Clinical
Winter,,,,6.866,4.956,12.436,Clinical
Winter,,,,6.887,4.789,16.257,Clinical
Winter,,,,6.914,4.978,11.274,Clinical
Winter,,,,6.919,4.967,15.887,Clinical
Winter,,,,6.975,4.866,18.126,Clinical
Winter,,,,7.061,4.967,14.911,Clinical
Winter,,,,7.002,5.124,17.653,Clinical
Winter,,,,6.871,4.79,7.641,Clinical
Winter,,,,6.836,4.676,6.901,Clinical
Winter,,,,6.898,4.874,18.378,Clinical
Winter,,,,6.83,4.891,13.009,Clinical
Winter,,,,6.897,4.921,11.148,Clinical
Winter,,,,6.927,4.895,15.693,Clinical
Winter,,,,6.92,5.141,17.292,Clinical
Winter,,,,6.863,4.745,9.093,Clinical
Winter,,,,6.855,4.938,19.121,Clinical
Winter,,,,6.86,4.719,11.701,Clinical
Winter,,,,6.861,4.882,14.257,Clinical
Winter,,,,6.794,4.917,19.577,Clinical
Winter,,,,6.857,4.765,12.074,Clinical
Winter,,,,6.923,4.946,21.398,Clinical
Winter,,,,6.888,4.75,6.773,Clinical
Winter,,,,6.849,4.796,17.315,Clinical
Winter,,,,6.864,4.839,12.708,Clinical
Winter,,,,6.983,5.211,19.336,Clinical
Winter,,,,6.866,4.932,16.776,Clinical
Winter,,,,7.029,5.041,16.559,Clinical
Winter,,,,6.941,5.013,19.214,Clinical
Winter,,,,6.936,5.003,20.046,Clinical
Winter,,,,6.997,5.016,16.495,Clinical
Winter,,,,6.91,4.993,13.641,Clinical
Summer,,,,6.657,4.297,1.226,Healthy
Summer,,,,6.676,4.317,1.29,Healthy
Summer,,,,6.623,4.298,1.259,Healthy
Summer,,,,6.693,4.318,1.309,Healthy
Summer,,,,6.655,4.329,1.31,Healthy
Summer,,,,6.656,4.313,1.282,Healthy
Summer,,,,6.641,4.299,1.294,Healthy
Summer,,,,6.629,4.291,1.152,Healthy
Summer,,,,6.674,4.287,1.163,Healthy
Summer,,,,6.658,4.331,1.316,Healthy
Summer,,,,6.639,4.326,1.206,Healthy
Summer,,,,6.606,4.284,1.137,Healthy
Summer,,,,6.63,4.301,1.243,Healthy
Summer,,,,6.639,4.272,1.204,Healthy
Summer,,,,6.663,4.305,1.371,Healthy
Summer,,,,6.629,4.263,1.07,Healthy
Summer,,,,6.649,4.304,1.224,Healthy
Summer,,,,6.657,4.282,1.277,Healthy
Summer,,,,6.648,4.318,1.304,Healthy
Summer,,,,6.659,4.314,1.304,Healthy
Summer,,,,6.663,4.329,1.332,Healthy
Summer,,,,6.664,4.306,1.347,Healthy
Summer,,,,6.636,4.324,1.291,Healthy
Summer,,,,6.621,4.287,1.139,Healthy
Summer,,,,6.667,4.298,1.2,Healthy
Summer,,,,6.612,4.272,0.978,Healthy
Summer,,,,6.618,4.296,1.26,Healthy
Summer,,,,6.659,4.288,1.195,Healthy
Summer,,,,6.65,4.28,1.272,Healthy
Summer,,,,6.668,4.305,1.253,Healthy
Summer,,,,6.654,4.267,1.121,Healthy
Summer,,,,6.636,4.276,1.137,Healthy
Summer,,,,6.686,4.33,1.29,Healthy
Summer,,,,6.661,4.33,1.381,Healthy
Summer,,,,6.651,4.29,1.246,Healthy
Summer,,,,6.658,4.319,1.33,Healthy
Summer,,,,6.671,4.302,1.329,Healthy
Summer,,,,6.654,4.337,1.294,Healthy
Summer,,,,6.685,4.322,1.261,Healthy
Summer,,,,6.64,4.289,1.224,Healthy
Summer,,,,6.66,4.296,1.22,Healthy
Summer,,,,6.693,4.352,1.423,Healthy
Summer,,,,6.651,4.302,1.278,Healthy
Summer,,,,6.63,4.285,1.07,Healthy
Summer,,,,6.658,4.315,1.245,Healthy
Summer,,,,6.681,4.296,1.132,Healthy
Summer,,,,6.654,4.32,1.4,Healthy
Summer,,,,6.641,4.314,1.263,Healthy
Summer,,,,6.647,4.313,1.31,Healthy
Summer,,,,6.618,4.309,1.335,Healthy
Summer,,,,6.637,4.3,1.259,Healthy
Summer,,,,6.655,4.293,1.168,Healthy
Summer,,,,6.649,4.32,1.322,Healthy
Summer,,,,6.643,4.309,1.067,Healthy
Summer,,,,6.673,4.282,1.163,Healthy
Summer,,,,6.628,4.266,1.202,Healthy
Summer,,,,6.641,4.301,1.227,Healthy
Summer,,,,6.66,4.306,1.167,Healthy
Summer,,,,6.67,4.302,1.14,Healthy
Summer,,,,6.641,4.321,1.344,Healthy
Summer,,,,6.643,4.29,1.179,Healthy
Summer,,,,6.692,4.328,1.354,Healthy
Summer,,,,6.671,4.315,1.263,Healthy
Summer,,,,6.646,4.297,1.217,Healthy
Summer,,,,6.665,4.309,1.308,Healthy
Summer,,,,6.648,4.3,1.099,Healthy
Summer,,,,6.668,4.316,1.347,Healthy
Summer,,,,6.592,4.305,1.216,Healthy
Summer,,,,6.672,4.294,1.26,Healthy
Summer,,,,6.629,4.278,1.286,Healthy
Summer,,,,6.646,4.302,1.291,Healthy
Summer,,,,6.66,4.308,1.28,Healthy
Summer,,,,6.698,4.324,1.329,Healthy
Summer,,,,6.671,4.33,1.401,Healthy
Summer,,,,6.663,4.287,1.305,Healthy
Summer,,,,6.627,4.293,1.153,Healthy
Summer,,,,6.649,4.305,1.265,Healthy
Summer,,,,6.658,4.332,1.354,Healthy
Summer,,,,6.645,4.314,1.346,Healthy
Summer,,,,6.625,4.297,1.26,Healthy
Summer,,,,6.644,4.32,1.276,Healthy
Summer,,,,6.653,4.298,1.227,Healthy
Summer,,,,6.628,4.264,1.224,Healthy
Summer,,,,6.633,4.274,1.008,Healthy
Summer,,,,6.637,4.271,1.25,Healthy
Summer,,,,6.67,4.299,1.382,Healthy
Summer,,,,6.67,4.305,1.086,Healthy
Summer,,,,6.696,4.3,1.138,Healthy
Summer,,,,6.67,4.352,1.478,Healthy
Summer,,,,6.661,4.316,1.336,Healthy
Summer,,,,6.665,4.313,1.279,Healthy
Summer,,,,6.649,4.287,1.172,Healthy
Summer,,,,6.616,4.281,1.097,Healthy
Summer,,,,6.628,4.291,1.29,Healthy
Summer,,,,6.668,4.283,1.122,Healthy
Summer,,,,6.669,4.293,1.202,Healthy
Summer,,,,6.661,4.289,1.21,Healthy
Summer,,,,6.623,4.276,1.172,Healthy
Summer,,,,6.618,4.291,1.191,Healthy
Summer,,,,6.661,4.31,1.351,Healthy
Summer,,,,6.809,4.9,3.504,Subclinical
Summer,,,,6.838,4.963,3.568,Subclinical
Summer,,,,6.751,4.837,3.235,Subclinical
Summer,,,,6.922,4.916,3.441,Subclinical
Summer,,,,6.75,4.968,3.516,Subclinical
Summer,,,,6.887,4.938,3.58,Subclinical
Summer,,,,6.742,5.069,3.512,Subclinical
Summer,,,,6.822,5.0,3.652,Subclinical
Summer,,,,6.787,4.909,3.5,Subclinical
Summer,,,,6.79,5.004,3.874,Subclinical
Summer,,,,6.761,4.784,3.343,Subclinical
Summer,,,,6.981,4.997,3.83,Subclinical
Summer,,,,6.917,4.971,3.657,Subclinical
Summer,,,,6.914,4.983,3.573,Subclinical
Summer,,,,6.759,4.813,3.305,Subclinical
Summer,,,,6.714,4.869,3.342,Subclinical
Summer,,,,6.816,4.81,3.434,Subclinical
Summer,,,,6.858,4.804,3.44,Subclinical
Summer,,,,6.886,4.892,3.702,Subclinical
Summer,,,,6.829,4.892,3.477,Subclinical
Summer,,,,6.839,4.966,3.633,Subclinical
Summer,,,,6.736,4.896,3.296,Subclinical
Summer,,,,6.792,4.847,3.337,Subclinical
Summer,,,,6.887,5.088,3.783,Subclinical
